# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8912688      0.83255320      0.67129316
       1.8912756      0.66140643      0.86987142
       1.8913238      0.30071514      0.87113079
       1.8913307      0.40395872      0.73130607
       1.8913376      0.47105611      0.65229524
       1.8913444      0.45463393      0.58124284
       1.8913513      0.44637507      0.52807390
       1.8913582      0.49527930      0.46540373
       1.8913651      0.65957837      0.45632762
       1.8913720      0.90429151      0.49938059
       1.8913788       1.1367492      0.55381787
       1.8913857       1.2005169      0.58859256
       1.8913926       1.1110851      0.59376633
       1.8913995      0.92024017      0.58027552
       1.8914063      0.75080353      0.56398190
       1.8914132      0.62751075      0.55247136
       1.8914201      0.54598043      0.54144298
       1.8914270      0.50014594      0.52602214
       1.8914338      0.48095305      0.50471767
       1.8914407      0.48074076      0.47848255
       1.8914476      0.49629802      0.44990498
       1.8914544      0.52865137      0.42446556
       1.8914613      0.57743412      0.40880042
       1.8914682      0.63782967      0.40690749
       1.8914751      0.70502140      0.41787722
       1.8914819      0.73011681      0.43673571
       1.8914888      0.70849444      0.45766602
       1.8914957      0.64308126      0.47160319
       1.8915025      0.58320991      0.47088265
       1.8915094      0.53627167      0.45383267
       1.8915163      0.50443914      0.42644257
       1.8915231      0.48988489      0.39859183
       1.8915300      0.49674456      0.37875432
       1.8915369      0.55833962      0.37671824
       1.8915437      0.66811257      0.39349105
       1.8915506      0.81466193      0.40282092
       1.8915575      0.95451954      0.37073557
       1.8915643       1.0945583      0.28208153
       1.8915712       1.1814508      0.19799162
       1.8915781       1.2253925      0.20002213
       1.8915849       1.2315257      0.30401580
       1.8915918       1.2500425      0.46770270
       1.8915987       1.2673109      0.61570304
       1.8916055       1.2656628      0.67926443
       1.8916124       1.2467957      0.60634950
       1.8916193       1.2247143      0.43417050
       1.8916261       1.1834774      0.31039260
       1.8916330       1.1337824      0.26113640
       1.8916399       1.0442145      0.23999195
       1.8916467      0.94176828      0.19537466
       1.8916536      0.79751995      0.19859933
       1.8916604      0.59645642      0.26823132
       1.8916673      0.40091567      0.36142623
       1.8916742      0.30640617      0.42504166
       1.8916810      0.38668568      0.46984641
       1.8916879      0.47746877      0.51082410
       1.8916947      0.50656584      0.55992803
       1.8917016      0.44231544      0.61324894
       1.8917085      0.38361201      0.65939715
       1.8917153      0.33461379      0.68360509
       1.8917222      0.29465612      0.67056178
       1.8917290      0.27213433      0.59533626
       1.8917359      0.31468502      0.46551590
       1.8917427      0.39519582      0.34748340
       1.8917496      0.36710761      0.32995737
       1.8917564      0.27845202      0.41945349
       1.8917633      0.15651885      0.55918859
       1.8917702      0.13877293      0.68593092
       1.8917770      0.13872888      0.79070611
       1.8917839      0.20122527      0.87304860
       1.8918113      0.69416081      0.80723380
       1.8918181      0.77922526      0.67060376
       1.8918250      0.86462184      0.54102989
       1.8918318      0.94384908      0.45468375
       1.8918387       1.0101084      0.44122370
